address,fraud_flag,has_transaction_activity,has_token_activity,log_total_transactions,log_unique_receivers,log_unique_senders,log_total_eth_sent,log_total_eth_received,log_avg_eth_sent,log_avg_eth_received,log_wallet_lifetime_days,transactions_per_active_day,avg_gas_limit,avg_gas_price,log_total_token_transfers,log_unique_token_receivers,log_token_activity_lifetime_days,token_transfers_per_active_day
0x5b0f6f8aa0e934a12f164dc87ef8fcaf5aa6e32d,0,1,0,7.117205503164344,1.0986122886681098,1.791759469228055,7.431115533979023,7.431376941783458,1.3879370389529708,1.2568552568902716,6.2422232654551655,3.5402298850574714,40926.91622103387,26152099181.021393,0.0,0.0,0.0,0.0
0x7f2d5a30056373b0cbd5f01b6d85f387f534228d,0,1,0,7.884952945759814,1.0986122886681098,6.202535517187923,7.521175651791767,7.521461499481986,0.9035567401004042,0.8414393457855582,4.31748811353631,41.5,21000.0,20000795544.948288,0.0,0.0,0.0,0.0
0xf021428381172ef96988b31f241f4000259488f7,1,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,0.0953647237713211,0.097580328338864,0.04881873518984794,0.097580328338864,4.859812404361672,1.0,30500.0,40500000000.0,0.0,0.0,0.0,0.0
0x22ecb8101fcd977908a72f8ab694cc17425fad2d,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,0.3008798918280898,0.30153250582995084,0.16171360581168598,0.30153250582995084,3.4011973816621555,1.5,21000.0,21000000000.0,0.0,0.0,0.0,0.0
0x1886fcf318dc00193479c34d97ecd461b9d172fe,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3858396634618755,1.3860443298646814,0.9159269902892438,1.3860443298646814,5.950642552587727,1.5,50704.0,12854435152.0,0.0,0.0,0.0,0.0
0x2d4e4758e3eb616eed79689026e0e7fdc0b8b493,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x0569497f5a5c2f5fadeb01d2b63f83754c49ac3c,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x40e30598d65ae0c6ffce25088b36d61013310250,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x141c0cce8c1fc988b81172d773e682aa3f1b29d2,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xc267113157515e74916de2abcb8c808b127f33ab,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,0.3282365641401928,0.32891691468254014,0.17752566104302264,0.17792122571644634,2.302585092994046,1.3333333333333333,21000.0,22500000000.0,0.0,0.0,0.0,0.0
0x1ce0bc49b289cb39e8a77f5677a8840a7c8a04bd,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.652351346822049,4.6523598522342295,3.968698101596313,3.9687065266411055,3.367295829986474,2.0,21000.0,21229435152.0,0.0,0.0,0.0,0.0
0xc777512dd241b69399a1285f20f5bf6a5dafd7ca,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,1.790768432888265,1.7909257884794776,1.251913568921556,1.2520484275574992,0.6931471805599453,4.0,21000.0,22458870304.0,0.0,0.0,0.0,0.0
0x62e017e68313e09ec4e1b85cebcd4d275c1f9025,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,4.624958222801328,4.624972813284271,3.545764300578538,4.624972813284271,1.0986122886681098,2.0,67000.0,23622514337.0,0.0,0.0,0.0,0.0
0x189c12ab4b24247f6ac9730dd0abd216cd4ee985,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,4.624958222801328,4.624972813284271,3.545764300578538,4.624972813284271,1.0986122886681098,2.0,67000.0,23622514337.0,0.0,0.0,0.0,0.0
0x6b74374229347037b7e0985e9c3ba584c28fb189,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624962752268922,4.624972813284271,3.941571844334588,3.9415818076696905,1.0986122886681098,2.0,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0x953386c45eb73be5c3d526cce34ab27cd05c3908,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624962752268922,4.624972813284271,3.941571844334588,3.9415818076696905,1.0986122886681098,2.0,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0xaf9d377d339a5d14eccece6bdc74e24ebb78fa61,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624962752268922,4.624972813284271,3.941571844334588,3.9415818076696905,1.0986122886681098,2.0,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0xa04d2003430717fc9820e97d0e8c85fecc9dfafa,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x3fd303a8bc9da9c80e26902dbc4664c9dd01a3ac,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x3605fc35932ab8e5c7d2b19da72f13844381bd1b,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x20c0c17cb6275256e421d0a5902d179cc2bccb54,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xb23d6679b077b336078d686ff9e70280866f5e6c,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x889f7118e040288ccfa5b987d9d08a47741a505b,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xb4fdea06be748670725adcb62d9aacfdae54492d,0,1,0,1.791759469228055,1.0986122886681098,1.3862943611198906,4.624963164037686,4.624972813284271,3.941572252105558,3.545778610473263,1.0986122886681098,2.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xef0d5aa61af54a8d932734b3f1949bf40b873bb7,1,1,0,2.1972245773362196,1.0986122886681098,1.9459101490553132,1.6703162673281633,1.6705454534850925,1.1495981560714938,0.5418460881325845,1.6094379124341003,2.0,23000.0,29000000000.0,0.0,0.0,0.0,0.0
0xe276c66af8853cdd91c1a25608b4e8b599f4da0e,1,1,0,2.1972245773362196,1.0986122886681098,1.9459101490553132,3.0213160986525907,3.021400020302569,2.37575553294462,1.4477029892485342,1.3862943611198906,2.6666666666666665,21000.0,41000000000.0,0.0,0.0,0.0,0.0
0x4e556877e96fdf3bef67c81ef72e20ab29a9aebf,1,1,0,2.4849066497880004,1.0986122886681098,2.302585092994046,2.610462457330352,2.6105890172598585,1.9882401228259756,0.8757956879275134,3.1354942159291497,3.6666666666666665,23000.0,41000000000.0,0.0,0.0,0.0,0.0
0x0d9dacef694563ee0888e2751bf2349ac1b6270e,1,1,0,2.5649493574615367,1.0986122886681098,2.302585092994046,1.6625994605483327,1.1861024474123498,0.8855565725042939,0.2253007402415394,1.9459101490553132,4.0,21000.0,5666666666.666666,0.0,0.0,0.0,0.0
0x74ff37c0adcc9c6eac0e70cf331b8ec9499acc29,0,1,0,5.602118820879701,1.0986122886681098,1.9459101490553132,7.290893019702203,7.290969124220185,2.4867095757142272,2.459646052543903,6.366470447731438,3.75,42686.57142857143,36166308777.43609,0.0,0.0,0.0,0.0
0x03014fd1cfcb9dbc4e8e2237638bb4c639d7babf,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x2447fe86209a9a68bfabbb6f0d002cec0e937059,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xad88af7f6a7dbb55ae8bd5ab226ff6bb3d03ed03,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xdf967ff95cd5ff35a27786dbd906fbb9ded116af,1,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,0.4603806010732008,0.46121512321265623,0.2564533679492395,0.25696509978972043,2.8903717578961645,2.0,21000.0,31500000000.0,0.0,0.0,0.0,0.0
0xf0e28a5485abe4ac9ea2fd7259f2f3f1366f950e,1,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.0535719511028094,1.0539160489424442,0.6595585350964224,0.6598136813050365,2.5649493574615367,1.3333333333333333,21000.0,23500000000.0,0.0,0.0,0.0,0.0
